hsn_code,description
5902.90.10,Impregnated with rubber
5902.90.90,Other
5903.10,with poly(Vinyl chloride)
5903.10.10,Imitation leather fabrics of cotton
5903.10.90,Other
5903.20,with polyurethane
5903.20.10,"Imitation leather fabrics, of cotton"
5903.20.90,Other
5903.90,Other
5903.90.10,Of cotton
5903.90.20,Polyethylene laminated jute fabrics
5903.90.90,Other
5904,"a coating or covering applied on a textile backing, whether or not cut"
5904.10,Linoleum
5904.10.00,Linoleum
5904.90,Other
5904.90.10,Floor coverings with jute base
5904.90.90,Other
5905,Textile wall coverings.
5905.00,Textile wall coverings.
5905.00.10,Fixed on the backing of any material
5905.00.90,Other
5906,"Rubberised textile fabrics, other than those of heading 5902."
5906.10,- Adhesive tape of a width not exceeding 20 cm
5906.10.00,Adhesive tape of a width not exceeding 20 cm <br> Other:
5906.91,Knitted or crocheted
5906.91.10,Of cotton
5906.91.90,Of other textile materials
5906.99,Other
5906.99.10,"Insulating tape, electrical of cotton"
5906.99.20,"Rubberised cotton fabrics, other than knitted or crocheted"
5906.99.90,Otherd
5907.00.11,On the base fabrics of cotton
5907.00.12,On the base fabrics of man-made textile material
5907.00.19,On base fabrics of other textile materials <br> Other
5907.00.92,Other textile fabrics coated or impregnated with oil or oil preparations
5907.00.93,"Jute fabrics otherwise impregnated or coated,"
5907.00.99,Other
5908,candles or the like; incandescent gas mantles and tubular knitted
5908.00,candles or the like; incandescent gas mantles and tubular knitted
5908.00.10,"Wicks and gas mantle fabrics, of cotton"
5908.00.20,Gas mantles of rayon
5908.00.90,Other
5909.00.10,Of cotton
5909.00.20,Of man-made fibre
5909.00.90,Of other textile materials
5910,"whether or not impregnated, coated, covered or laminated with"
5910.00,"whether or not impregnated, coated, covered or laminated with"
5910.00.10,Cotton canvas ply belting
5910.00.20,Rubberised cotton belting
5910.00.30,"Other transmission, conveyer or elevator belts or belting of cotton"
5910.00.40,Hair belting
5910.00.50,Flax canvas ply belting
5910.00.60,Fibre belt conveyor
5910.00.90,Other
5911.10,"Card Clothing, and similar fabrics of a kind used for Other technical"
5911.20,"Bolting cloth, whether or Not made up"
5911.20.00,"endless or fitted with linking devices, of a kind used in paper making or"
5911.31,-- Weighing less than 650 g/m2
5911.31.10,"Felt for cotton textile industries, woven"
5911.31.30,Cotton fabrics and articles used in machinery and plant
5911.31.40,Jute fabrics and articles used in machinery or plant
5911.31.90,Other
5911.32,-- Weighing 650 g/m2 or more
5911.32.10,"Felt for cotton textile industries, woven"
5911.32.30,Cotton fabrics and articles used in machinery and plant
5911.32.40,Jute fabrics and articles used in machinery or plant
5911.32.90,Other
5911.90,Other
5911.90.10,"Paper maker's felt, woven"
5911.90.90,Other
6001.10,“Long pile” fabrics
6001.10.10,Of cotton
6001.10.20,Of man-made fibres
6001.10.90,Of other textile materials <br> Looped pile fabrics:
6001.21,of cotton
6001.21.00,Of cotton
6001.22,of man-made fibres
6001.22.00,Of man-made fibres
6001.29,of Other textile materials
6001.29.00,Of other textile materials <br> Other:
6001.91,of cotton
6001.91.00,Of cotton
6001.92,of man-made fibres
6001.92.00,Of man-made fibres
6001.99,of Other textile materials
6001.99.10,Of wool or fine animal hair
6001.99.90,Other
6002,containing by weight 5% or more of elastomeric yarn or rubber
6002.90,Other
6002.90.00,Other
6003.10,of wool or fine animal hair
6003.10.00,Of wool or fine animal hair
6003.20,of cotton
6003.20.00,Of cotton
6003.30,of synthetic fibres
6003.30.00,Of synthetic fibres
6003.40,of artificial fibres
6003.40.00,Of artificial fibres
6003.90,Other
6003.90.00,Other
6004,"by weight 5 % or more of elastomeric yarn or rubber thread, other"
6004.90,Other
6004.90.00,Other
6005.21,Unbleached or Bleached
6005.21.00,Unbleached or bleached
6005.22,Dyed
6005.22.00,Dyed
6005.23,of yarns of different colours
6005.23.00,Of yarns of different colours
6005.24,Printed
6005.24.00,Printed <br> Of synthetic fibres :
60053600,"Other, unbleached or bleached"
60053700,"Other, dyed"
60053800,"Other, of yarns of different colours"
60053900,"Other, printed"
6005.41,Unbleached or Bleached
6005.41.00,Unbleached or bleached
6005.42,Dyed
6005.42.00,Dyed
6005.43,of yarns of different colours
6005.43.00,Of yarns of different colours
6005.44,Printed
6005.44.00,Printed
6005.90,Other
6005.90.00,Other
6006,Other knitted or crocheted fabrics.
6006.10,of wool or fine animal hair
6006.10.00,Of wool or fine animal hair <br> Of cotton
6006.21,Unbleached or Bleached
6006.21.00,Unbleached or bleached
6006.22,Dyed
6006.22.00,Dyed
6006.23,of yarns of different colours
6006.23.00,Of yarns of different colours
6006.24,Printed
6006.24.00,Printed <br> Of synthetic fibres :
6006.31,Unbleached or Bleached
6006.31.00,Unbleached or bleached
6006.32,Dyed
6006.32.00,Dyed
6006.33,of yarns of different colours
6006.33.00,Of yarns of different colours
6006.34,Printed
6006.34.00,Printed <br> Of artificial fibres :
6006.41,Unbleached or Bleached
6006.41.00,Unbleached or bleached
6006.42,Dyed
6006.42.00,Dyed
6006.43,of yarns of different colours
6006.43.00,Of yarns of different colours
6006.44,Printed
6006.44.00,Printed
6006.90,Other
6006.90.00,Other
6101,"(including ski-jackets), wind-cheaters, wind-jackets and similar"
6101.20,of cotton
6101.20.00,Of cotton
6101.30,- Of man-made fibres
6101.30.10,Of synthetic fibres
6101.30.20,Of artificial fibres
6101.90,of Other textile materials
6101.90.10,Of silk
6101.90.90,Other
6102,"(including ski-jackets), wind-cheaters, wind- jackets and similar"
6102.10,of wool or fine animal hair
6102.10.00,Of wool or fine animal hair
6102.20,of cotton
6102.20.00,Of cotton
6102.30,- Of man-made fibres
6102.30.10,Of synthetic fibres
6102.30.20,Of artificial fibres
6102.90,of Other textile materials
6102.90.10,Of silk
6102.90.90,Other
6103,"brace overalls, breeches and shorts (other than swimwear), knitted"
6103.10,Suits
6103.10.10,"overalls,breeches and shorts(other than swim wear),knitted or"
6103.10.20,Of cotton
6103.10.30,Of artificial fibres
6103.10.90,Othre
6103.22,of cotton
6103.22.00,Of cotton
6103.23,of synthetic fibres
6103.23.00,Of synthetic fibres
6103.29,of Other textile materials
6103.29.10,Of silk
6103.29.20,Of artificial fibres
6103.29.90,Other <br> Jackets and blazers:
6103.31,of wool or fine animal hair
6103.31.00,Of wool or fine animal hair
6103.32,of cotton
6103.32.00,Of cotton
6103.33,of synthetic fibres
6103.33.00,Of synthetic fibres
6103.39,of Other textile materials
6103.39.10,Of silk
6103.39.20,Of artificial fibres
6103.39.90,"Other <br> Trousers, bib and brace overalls, breeches and shorts:"
6103.41,of wool or fine animal hair
6103.41.00,Of wool or fine animal hair
6103.42,of cotton
6103.42.00,Of cotton
6103.43,of synthetic fibres
6103.43.00,Of synthetic fibres
6103.49,of Other textile materials
6103.49.10,Of silk
6103.49.20,Of artificial fibres
6103.49.90,Other
6104,"divided skirts, trousers, bib and brace overalls, breeches and shorts"
6104.13,of synthetic fibres
6104.13.00,Of synthetic fibres
6104.19,of Other textile materials
6104.19.10,Of silk
6104.19.20,Of artificial fibres
6104.19.90,Other <br> Ensembles:
6104.22,of cotton
6104.22.00,Of cotton
6104.23,of synthetic fibres
6104.23.00,Of synthetic fibres
6104.29,of Other textile materials
6104.29.10,Of silk
6104.29.20,Of artificial fibres
6104.29.90,Other <br> Jackets and blazers:
6104.31,of wool or fine animal hair
6104.31.00,Of wool or fine animal hair
6104.32,of cotton
6104.32.00,Of cotton
6104.33,of synthetic fibres
6104.33.00,Of synthetic fibres
6104.39,of Other textile materials
6104.39.10,Of silk
6104.39.20,Of artificial fibres
6104.39.90,Other <br> Dresses:
6104.41,of wool or fine animal hair
6104.41.00,Of wool or fine animal hair
6104.42,of cotton
6104.42.00,Of cotton
6104.43,of synthetic fibres
6104.43.00,Of synthetic fibres
6104.44,of artificial fibres
6104.44.00,Of artificial fibres
6104.49,of Other textile materials
6104.49.10,Of silk
6104.49.90,Of other fibres <br> Skirts and divided skirts:
6104.51,of wool or fine animal hair
6104.51.00,Of wool or fine animal hair
6104.52,of cotton
6104.52.00,Of cotton
6104.53,of synthetic fibres
6104.53.00,Of synthetic fibres
6104.59,of Other textile materials
6104.59.10,Of silk
6104.59.20,Of artificial fibres
6104.61,of wool or fine animal hair
6104.61.00,Of wool or fine animal hair
6104.62,of cotton
6104.62.00,Of cotton
6104.63,of synthetic fibres
6104.63.00,Of synthetic fibres
6104.69,of Other textile materials
6104.69.10,Of silk
6104.69.20,Of artificial fibres
6104.69.90,Other
6105,"Men's or boys' shirts, knitted or crocheted."
6105.10,of cotton
6105.10.10,"Shirts, hand crocheted"
6105.10.90,Other
6105.20,of man-made fibres
6105.20.10,Of synthetic fibres
6105.20.20,Of artificial fibres
6105.90,of Other textile materials
6105.90.10,Of silk
6105.90.90,Other
6106.10,of cotton
6106.10.00,Of cotton
6106.20,of man-made fibres
6106.20.10,Of synthetic fibres
6106.20.20,Of artificial fibres
6106.90,of Other textile materials
6106.90.10,Of silk
6106.90.20,Of wool or fine animal hair
6106.90.90,Other
6107.11,of cotton
6107.11.00,Of cotton
6107.12,of man-made fibres
6107.12.10,Of synthetic fibres
6107.12.20,Of artificial fibres
6107.19,of Other textile materials
6107.19.10,Of silk
6107.19.90,Other <br> Night shirts and pyjamas:
6107.21,of cotton
6107.21.00,Of cotton
6107.22,of man-made fibres
6107.22.10,Of synthetic fibres
6107.22.20,Of artificial fibres
6107.29,of Other textile materials
6107.29.10,Of silk
6107.29.20,Of wool or fine animal hair
6107.29.90,Other <br> Other:
6107.91,of cotton
6107.91.10,"Gengis (Vests), other than hand crocheted"
6107.91.90,Other
6107.99,of Other textile materials
6107.99.10,Of silk
6107.99.20,Of wool or fine animal hair
6107.99.90,Other
6108,"pyjamas, négligés, bathrobes, dressing gowns and similar articles,"
6108.11,of man-made fibres
6108.11.10,Of synthetic fibres
6108.11.20,Of artificial fibres
6108.19,of Other textile materials
6108.19.10,Of silk
6108.19.20,Of cotton
6108.19.90,Of other fibres <br> Briefs and panties:
6108.21,of cotton
6108.21.00,Of cotton
6108.22,of man-made fibres
6108.22.10,Of synthetic fibres
6108.22.20,Of artificial fibres
6108.29,of Other textile materials
6108.29.10,Of silk
6108.29.90,Other <br> Night dresses and pyjamas:
6108.31,of cotton
6108.31.00,Of cotton
6108.32,of man-made fibres
6108.32.10,Of synthetic fibres
6108.32.20,Of artificial fibres
6108.39,of Other textile materials
6108.39.10,Of silk
6108.39.90,Other <br> Other:
6108.91,of cotton
6108.91.00,Of cotton
6108.92,of man-made fibres
6108.92.10,Of synthetic fibres
6108.92.20,Of artificial fibres
6108.99,of Other textile materials
6108.99.10,Of silk
6108.99.20,Of wool or fine animal hair
6108.99.90,Of other textile material
6109,"T-shirts, singlets and other vests, knitted or crocheted."
6109.10,of cotton
6109.10.00,Of cotton
6109.90,of Other textile materials
6109.90.10,Of synthetic fibres
6109.90.20,Of artificial fibres
6109.90.30,Of silk
6109.90.40,Of wool or fine animal hair
6109.90.90,Other
6110.11,of wool
6110.11.10,Jerseys
6110.11.20,Sweaters and cardigans
6110.11.90,Other
6110.12,of Kashmir (cashmere) Goats
6110.12.00,Of kashmir (cashmere) goats
6110.19,Other
6110.19.00,Other
6110.20,of cotton
6110.20.00,Of cotton
6110.30,of man-made fibres
6110.30.10,Of synthetic fibres
6110.30.20,Of artificial fibres
6110.90,of Other textile materials
6110.90.00,Of other textile materials
6111,"Babies' garments and clothing accessories, knitted or crocheted."
6111.20,of cotton
6111.20.00,Of cotton
6111.30,of synthetic fibres
6111.30.00,Of synthetic fibres
6111.90,of Other textile materials
6111.90.10,Of silk
6111.90.20,Of artificial fibres
6111.90.90,OTHER
6112,"Track suits, ski suits and swimwear, knitted or crocheted."
6112.11,of cotton
6112.11.00,Of cotton
6112.12,of synthetic fibres
6112.12.00,Of synthetic fibres
6112.19,of Other textile materials
6112.19.10,Of silk
6112.19.20,Of wool or fine animal hair
6112.19.30,Of artificial fibres
6112.19.90,Other
6112.20,Ski Suits
6112.20.10,Of silk
6112.20.20,Of wool or fine animal hair
6112.20.30,Of cotton
6112.20.40,Of synthetic fibres
6112.20.50,Of artificial fibres
6112.20.90,Other <br> Men's or boys' swimwear:
6112.31,of synthetic fibres
6112.31.00,Of synthetic fibres
6112.39,of Other textile materials
6112.39.10,Of silk
6112.39.20,Of artificial fibres
6112.39.90,Other <br> Women’s or girls’ swimwear:
6112.41,of synthetic fibres
6112.41.00,Of synthetic fibre
6112.49,of Other textile materials
6112.49.10,Of silk
6112.49.20,Of artificial fibres
6112.49.90,Other
6114,"Other garments, knitted or crocheted."
6114.20,of cotton
6114.20.00,Of cotton
6114.30,of man-made fibres
6114.30.10,Of synthetic fibres
6114.30.20,Of artificial fibres
6114.90,of Other textile materials
6114.90.10,Of silk
6114.90.90,Other
6115,"graduated compression hosiery (for example, stockings for varicose"
6115.10.00,"Graduated compression hosiery for example,(stockings for varicose veins)"
6115.21,"-- Of synthetic fibres, measuring per single yarn less than 67 decitex"
6115.22,"-- Of synthetic fibres, measuring per single yarn 67 decitex or more"
6115.22.00,Of synthetic fibres measuring per single yarn 67 decitex or more
6115.29,of Other textile materials
6115.29.10,Of other textile materials : Of silk
6115.29.20,Of wool or fine animal hair
6115.29.30,Of artificial fibres
6115.29.90,Other
6115.94,of wool or fine animal hair
6115.94.00,Of wool or fine animal hair
6115.95,of cotton
6115.95.00,Of cotton
6115.96,of synthetic fibres
6115.96.00,Of synthetic fibres
6115.99,of Other textile materials
6115.99.10,Of artificial fibres
6115.99.90,Other
6116,"Gloves, mittens and mitts, knitted or crocheted."
6116.10,"impregnated, coated or Covered with plastics or rubber"
6116.10.00,"Impregnated, coated or covered with plastics or rubber <br> Other:"
6116.91,of wool or fine animal hair
6116.91.00,Of wool or fine animal hair
6116.92,of cotton
6116.92.00,Of cotton
6116.93,of synthetic fibres
6116.93.00,Of synthetic fibres
6116.99,of Other textile materials
6116.99.10,Of artificial fibres
6116.99.90,Other
6117.10,"Shawls, scarves, mufflers, mantillas, veils and the like"
6117.10.10,Of silk
6117.10.20,Of wool
6117.10.30,Of cotton
6117.10.40,Of man-made fibres
6117.10.90,Other
6117.80,Other accessories
6117.80.10,Of silk
6117.80.20,Of wool
6117.80.30,Of cotton
6117.80.40,Of man-made fibres
6117.80.90,Other
6117.90,Parts
6117.90.00,Parts
6201,"(including ski-jackets), wind-cheaters, wind-jackets and similar"
6201.11,of wool or fine animal hair
6201.11.00,Of wool and fine animal hair
6201.12,of cotton
6201.12.10,Raincoats
6201.12.90,Other
6201.13,-- Of man-made fibres
6201.13.10,Raincoats
6201.13.90,Other
6201.19,of Other textile materials
6201.19.10,Of silk
6201.19.90,Of other textile fibres <br> Other
6201.91,of wool or fine animal hair
6201.91.00,Of wool or fine animal hair
6201.92,of cotton
6201.92.00,Of cotton
6201.93,-- Of man-made fibres
6201.93.00,Of man-made fibres
6201.99,of Other textile materials
6201.99.10,Of silk
6201.99.90,Other
6202,"(including ski-jackets), wind-cheaters, wind-jackets and similar"
6202.11,of wool or fine animal hair
6202.11.10,Coats
6202.11.90,Other
6202.12,of cotton
6202.12.00,Of cotton
6202.13,of man-made fibres
6202.13.00,Of man-made fibres
6202.19,of Other textile materials
6202.19.10,Coats of silk
6202.19.20,Coats of all other fibres
6202.19.90,Other <br> Other:
6202.91,of wool or fine animal hair
6202.91.10,"Wind and ski-jackets, wind cheaters"
6202.91.90,Other
6202.92,of cotton
6202.92.10,"Wind and ski-jackets, wind cheaters"
6202.92.90,Other
6202.93,of man-made fibres
6202.93.10,"Wind and ski-jackets, wind cheaters"
6202.93.90,Other
6202.99,of Other textile materials
6202.99.11,Wind and ski-jackets
6202.99.19,Other
6202.99.90,Other
6203.11,of wool or fine animal hair
6203.11.00,Of wool or fine animal hair
6203.12,of synthetic fibres
6203.12.00,Of synthetic fibres
6203.19,of Other textile materials
6203.19.10,Of cotton
6203.19.90,Other <br> Ensembles:
6203.22,of cotton
6203.22.00,Of cotton
6203.23,of synthetic fibres
6203.23.00,Of synthetic fibres
6203.29,of Other textile materials
6203.29.00,Of other textile materials <br> Jackets and blazers:
6203.31,of wool or fine animal hair
6203.31.00,Of wool or fine animal hair
6203.32,of cotton
6203.32.00,Of cotton
6203.33,of synthetic fibres
6203.33.00,Of synthetic fibres
6203.39,of Other textile materials
6203.39.10,Of silk
6203.39.90,"Other <br> Trousers, bib and brace overalls, breeches and shorts:"
6203.41,of wool or fine animal hair
6203.41.00,Of wool or fine animal hair
6203.42,of cotton
6203.42.00,Of cotton
6203.43,of synthetic fibres
6203.43.00,Of synthetic fibres
6203.49,of Other textile materials
6203.49.10,Of silk
6203.49.90,Other
6204,"divided skirts, trousers, bib and brace overalls, breeches and shorts"
6204.11,of wool or fine animal hair
6204.11.00,Of wool of fine animal hair
6204.12,of cotton
6204.12.00,Of cotton
6204.13,of synthetic fibres
6204.13.00,Of synthetic fibres
6204.19,of Other textile materials <br> Of silk
6204.19.11,Sequinned or beaded with chattons or embroidered
6204.19.19,Other
6204.19.90,Of all other fibres <br> Ensembles:
6204.21,of wool or fine animal hair
6204.21.00,Of wool or fine animal hair
6204.22,of cotton
6204.22.10,"Blouses combined with skirts, trousers or shorts"
6204.22.90,Other
6204.23,of synthetic fibres
6204.23.00,Of synthetic fibres
6204.29,of Other textile materials <br> Of silk
